normalized,filtered
"['hotel', 'dan', 'kamarnya', 'bagus', 'nyaman', 'dan', 'bersih', 'sarapannya', 'juga', 'oke', 'sangat', 'dan', 'juga', 'lengkap', 'mulai', 'dari', 'makanan', 'indonesia', 'western', 'dan', 'juga', 'banyak', 'sekali', 'tersedia', 'aneka', 'pastry']","['hotel', 'kamarnya', 'bagus', 'nyaman', 'bersih', 'sarapannya', 'oke', 'sangat', 'lengkap', 'mulai', 'makanan', 'indonesia', 'western', 'banyak', 'sekali', 'tersedia', 'aneka', 'pastry']"
"['sarapannya', 'enak', 'namun', 'telurnya', 'sebaiknya', 'dibuat', 'dan', 'disimpan', 'di', 'stock', 'agar', 'orang', 'tidak', 'menunggu', 'pembuatan', 'telur', 'yang', 'lama', 'tksh']","['sarapannya', 'enak', 'telurnya', 'sebaiknya', 'dibuat', 'disimpan', 'stock', 'orang', 'menunggu', 'pembuatan', 'telur', 'lama', 'tksh']"
"['hotel', 'bagus', 'lokasi', 'strategis', 'petugas', 'ramah', 'tapi', 'klau', 'malem', 'dr', 'resto', 'suka', 'ada', 'bunyi', 'kursi', 'di', 'pindahkan', 'cuman', 'front', 'lobby', 'bisa', 'di', 'ajak', 'komunikasi', 'untuk', 'mengatasi', 'masalah', 'tersebut', 'semoga', 'makanan', 'bisa', 'lebih', 'enak', 'lagi']","['hotel', 'bagus', 'lokasi', 'strategis', 'petugas', 'ramah', 'klau', 'malem', 'dr', 'resto', 'suka', 'bunyi', 'kursi', 'pindahkan', 'cuman', 'front', 'lobby', 'ajak', 'komunikasi', 'mengatasi', 'masalah', 'tersebut', 'semoga', 'makanan', 'lebih', 'enak']"
"['sarapannya', 'enak', 'dan', 'variatif', 'pelayanan', 'dari', 'mbak', 'lena', 'sangat', 'baik']","['sarapannya', 'enak', 'variatif', 'pelayanan', 'mbak', 'lena', 'sangat', 'baik']"
"['lokasi', 'strategis', 'ruangan', 'nyaman', 'makan', 'enak', 'dan', 'higienis', 'dekat', 'stasiun', 'jadi', 'untuk', 'saya', 'yang', 'orang', 'solo', 'sangat', 'nyaman', 'menikmati', 'menginap', 'di', 'grand', 'mercure', 'yogyakarta']","['lokasi', 'strategis', 'ruangan', 'nyaman', 'makan', 'enak', 'higienis', 'dekat', 'stasiun', 'jadi', 'orang', 'solo', 'sangat', 'nyaman', 'menikmati', 'menginap', 'grand', 'mercure', 'yogyakarta']"
"['pertama', 'kali', 'kesini', 'nemenin', 'anak', 'yang', 'lagi', 'diajak', 'sama', 'budhenya', 'staycation', 'semalam', 'baru', 'masuk', 'pelayanannya', 'ramah', 'semua']","['pertama', 'kali', 'kesini', 'nemenin', 'anak', 'diajak', 'sama', 'budhenya', 'staycation', 'semalam', 'baru', 'masuk', 'pelayanannya', 'ramah', 'semua']"
"['hotelnya', 'sangat', 'bagus', 'walaupun', 'kamarnya', 'agama', 'kecil', 'tetapi', 'makanannya', 'breakfastnya', 'enak']","['hotelnya', 'sangat', 'bagus', 'walaupun', 'kamarnya', 'agama', 'kecil', 'makanannya', 'breakfastnya', 'enak']"
"['pelayanan', 'ramah', 'semedulur', 'lokasi', 'mudah', 'dicari', 'masakan', 'enak', 'dan', 'beragam', 'sayang', 'kamar', 'yang', 'saya', 'pesan', 'tidak', 'punya', 'view']","['pelayanan', 'ramah', 'semedulur', 'lokasi', 'mudah', 'dicari', 'masakan', 'enak', 'beragam', 'sayang', 'kamar', 'pesan', 'punya', 'view']"
"['tempat', 'bagus', 'dan', 'enak', 'dan', 'kamar', 'hotelnya', 'sangat', 'dingin', 'pelayanan', 'juga', 'mantap']","['tempat', 'bagus', 'enak', 'kamar', 'hotelnya', 'sangat', 'dingin', 'pelayanan', 'mantap']"
"['saya', 'menginap', 'di', 'hotel', 'grand', 'mercure', 'sangat', 'nyaman', 'menu', 'memuaskan', 'pelayanan', 'prima']","['menginap', 'hotel', 'grand', 'mercure', 'sangat', 'nyaman', 'menu', 'memuaskan', 'pelayanan', 'prima']"
